common_name,variety,farmos_name,botanical_name,crop_family,origin,description,lifespan_years,lifecycle_years,maturity_days,strata,succession_stage,plant_functions,harvest_days,germination_time,transplant_days,source
Avocado,,Avocado,Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,10-20,20,high,climax,edible_fruit,,,,Supermarket SEEDS/STONES
Avocado,Hass,Avocado (Hass),Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,10-20,20,high,climax,edible_fruit,,,,Daleys Fruit Nursery (bought plant)
Banagrass,,Banagrass,Cenchrus purpureus,Poaceae,Africa,Perennial tropical grass producing massive biomass for mulching. Also known as elephant grass or napier grass. Grows 3-4m tall. Excellent for erosion control and chop-and-drop.,10-15,3-10,4,high,pioneer,"biomass_producer,erosion_control",,,,Greenpatch Organic Seeds (bought plant)
Banana,,Banana,Musa acuminata,Musaceae,Southeast Asia,"Fast-growing tropical fruit producing bunches within 12-18 months. Excellent biomass - stems contain 90% water, perfect for chop-and-drop. Pioneer species providing quick shade. Remove suckers to maintain productivity.",5-10,3-10,5,high,pioneer,"edible_fruit,biomass_producer",,,,Minimbah Permaculture Farm (given plant)
Barley,,Barley,Hordeum vulgare,Poaceae,Fertile Crescent,Annual cereal grass used as green manure and cover crop in syntropic systems. Fast biomass producer that improves soil structure. Chop-and-drop before seeding to return nutrients. Cold tolerant.,1,0.5,0.3,low,pioneer,"green_manure,biomass_producer,living_mulch,erosion_control",,7-10 days,,Greenpatch Organic Seeds
Barley,Pearl,Barley (Pearl),Hordeum vulgare,Poaceae,Fertile Crescent,Annual cereal grass used as green manure and cover crop in syntropic systems. Fast biomass producer that improves soil structure. Chop-and-drop before seeding to return nutrients. Cold tolerant.,1,0.5,0.3,low,pioneer,"green_manure,biomass_producer,living_mulch,erosion_control",,7-10 days,,Various
Basil - Perennial,,Basil - Perennial,Ocimum basilicum,Lamiaceae,South Asia/Africa,Thai basil variety with distinctive anise-like flavor and purple stems. Essential for Southeast Asian cuisine. Loves heat.,1-2,1-3,2,medium,secondary,"aromatic,edible_greens",,,28-56,Johnsons
Basil - Perennial,Greek,Basil - Perennial (Greek),Ocimum minimum,Lamiaceae,Mediterranean / Asia,"Greek varietyCompact, bushy perennial basil forming a dense mound of tiny aromatic leaves. More cold-tolerant than sweet basil. In syntropic systems works as low-to-medium strata aromatic companion plant. Repels pests and attracts beneficial insects. Can persist for multiple seasons in frost-free areas.",2-3,1-3,1,low,secondary,"edible_leaf,aromatic,companion_plant,pest_deterrent",45-60,5-10 days,28-42,Greenpatch Organic (bought plant)
Basil - Perennial,Thai Siam Queen,Basil - Perennial (Thai),Ocimum basilicum,Lamiaceae,South Asia/Africa,Thai basil variety with distinctive anise-like flavor and purple stems. Essential for Southeast Asian cuisine. Loves heat.,1-2,1-3,2,medium,secondary,"aromatic,edible_greens",,,28-56,Johnsons
Basil - Sweet,Classic,Basil - Sweet (Classic),Ocimum basilicum,Lamiaceae,South Asia/Africa,Classic sweet Genovese-type basil. Essential for pesto and Italian cooking. Pinch flowers to prolong harvest.,1,0.5,0.5,low,secondary,"aromatic,edible_greens",60-90,,21-42,D.T. Brown
Basil - Sweet,Gourmet Mix,Basil - Sweet (Gourmet Mix),Ocimum basilicum,Lamiaceae,South Asia/Africa,Mixed variety basil seeds producing range of colors and flavors. Annual herb - succession plant through warm months.,1,0.5,0.5,low,secondary,"aromatic,edible_greens",60-90,,21-42,Yates
Bean - Climbing,,Bean - Climbing,Phaseolus vulgaris,Fabaceae,Central/South America,Climbing bean varieties needing support structure. Higher yielding than bush types. Includes Blue Lake and Snake Bean varieties. Keep picked for continuous production.,1,0.5,0.5,medium,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,14-21,Greenpatch Organic Seeds
Bean - Climbing,Blue Lake,Bean - Climbing (Blue Lake),Phaseolus vulgaris,Fabaceae,Central/South America,Climbing bean varieties needing support structure. Higher yielding than bush types. Includes Blue Lake and Snake Bean varieties. Keep picked for continuous production.,1,0.5,0.5,medium,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,14-21,Mr Fothergill's
Bean - Climbing,Purple King,Bean - Climbing (Purple King),Phaseolus vulgaris,Fabaceae,Central/South America,Climbing bean varieties needing support structure. Higher yielding than bush types. Includes Blue Lake and Snake Bean varieties. Keep picked for continuous production.,1,0.5,0.5,medium,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,14-21,Mr Fothergill's
Bean - Dwarf,,Bean - Dwarf,Phaseolus vulgaris,Fabaceae,Central/South America,"Bush bean varieties not requiring support. Fast growing nitrogen-fixer. Many varieties including Purple Beauty, Brown Beauty, Borlotti. Pick frequently to extend harvest.",1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",55-65,7-14 days,14-21,Garden Basics
Bean - Dwarf,Borlotti,Bean - Dwarf (Borlotti),Phaseolus vulgaris,Fabaceae,Central/South America,"Bush bean varieties not requiring support. Fast growing nitrogen-fixer. Many varieties including Purple Beauty, Brown Beauty, Borlotti. Pick frequently to extend harvest.",1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",55-65,7-14 days,14-21,Greenpatch Organic Seeds
Bee & Butterfly Mix,,Bee & Butterfly Mix,Mixed species,Mixed,Various,Mixed flower seed blend specifically selected to attract bees and butterflies. Contains nectar and pollen-rich flowers.,1,0.5,0.5,low,secondary,"beneficial_insects,nectar_source,ornamental",,7-21 days,,Mr Fothergill's
Beetroot,,Beetroot,Beta vulgaris,Amaranthaceae,Mediterranean,Root vegetable with edible leaves and sweet red roots. Easy to grow year-round in mild climates. Related to silverbeet. Thin seedlings as multiple seeds per cluster.,1,0.5,0.5,low,secondary,"edible_root,edible_greens",55-70,10-14 days,21-35,various
Beetroot,Crimson Globe,Beetroot (Crimson Globe),Beta vulgaris,Amaranthaceae,Mediterranean,Root vegetable with edible leaves and sweet red roots. Easy to grow year-round in mild climates. Related to silverbeet. Thin seedlings as multiple seeds per cluster.,1,0.5,0.5,low,secondary,"edible_root,edible_greens",55-70,10-14 days,21-35,Mr Fothergill's
Beetroot,Moulin Rouge,Beetroot (Moulin Rouge),Beta vulgaris,Amaranthaceae,Mediterranean,Root vegetable with edible leaves and sweet red roots. Easy to grow year-round in mild climates. Related to silverbeet. Thin seedlings as multiple seeds per cluster.,1,0.5,0.5,low,secondary,"edible_root,edible_greens",55-70,10-14 days,21-35,Mr Fothergill's
Black Coral Pea,,Black Coral Pea,Kennedia nigricans,Fabaceae,Native to Western Australia,Native Australian nitrogen-fixing climbing vine. Striking black and yellow pea flowers. Excellent for covering fences and trellises.,5-10,3-10,5,low,pioneer,"nitrogen_fixer,native_habitat,ornamental,erosion_control",,14-28 days,28-42,"Beck & Dan, Krambach (given seeds)"
Black She-oak,,Black She-oak,Allocasuarina littoralis,Casuarinaceae,Native to NSW,Australian native nitrogen-fixing tree to 8m. Excellent pioneer for poor soils. Fixes nitrogen via Frankia bacteria. Fine needle-like foliage provides light shade. Fire-resistant. Important habitat for Black Cockatoos.,50-100,10-20,15,high,pioneer,"nitrogen_fixer,native_habitat,erosion_control,windbreak",,,,Minimbah Permaculture Farm (given seeds)
Blackberry,,Blackberry,Rubus fruticosus,Rosaceae,Europe/Asia,Perennial berry bramble producing dark sweet fruit. Thorny canes need support. Very vigorous - requires management to prevent spread. Fruits on second-year wood.,15-25,10-20,8,low,secondary,edible_fruit,,,,Greenpatch Organic Seeds (bought plant)
Blueberry,,Blueberry,Vaccinium corymbosum,Ericaceae,North America,Acid-loving berry shrub requiring pH 4.5-5.5. Needs consistent moisture and good drainage. Beautiful autumn foliage.,20-50,20+,30,low,secondary,edible_fruit,,,,FFC (cutting plant)
Borage,,Borage,Borago officinalis,Boraginaceae,Mediterranean,Blue-flowered annual herb attracting bees. Cucumber-flavored leaves and flowers are edible. Self-seeds readily. Excellent companion plant.,1,0.5,1,low,pioneer,"beneficial_insects,edible_flower,edible_greens,companion_plant",60-80,5-10 days,21-28,various
Borage,Blue Flower,Borage (Blue Flower),Borago officinalis,Boraginaceae,Mediterranean,Blue-flowered annual herb attracting bees. Cucumber-flavored leaves and flowers are edible. Self-seeds readily. Excellent companion plant.,1,0.5,1,low,pioneer,"beneficial_insects,edible_flower,edible_greens,companion_plant",60-80,5-10 days,21-28,Greenpatch Organic Seeds
Borage,White Flower,Borage (White Flower),Borago officinalis,Boraginaceae,Mediterranean,White-flowered annual herb attracting bees. Cucumber-flavored leaves and flowers are edible. Self-seeds readily. Excellent companion plant.,1,0.5,1,low,pioneer,"beneficial_insects,edible_flower,edible_greens,companion_plant",60-80,5-10 days,21-28,Greenpatch Organic Seeds
Broad Bean,,Broad Bean,Vicia faba,Fabaceae,Mediterranean,Cool season nitrogen-fixing legume producing large edible beans. Excellent green manure and cover crop. Deep roots improve soil structure. Frost tolerant. Part of traditional green manure mixes in syntropic systems.,1,0.5,1,medium,pioneer,"nitrogen_fixer,green_manure,edible_seed",90-120,7-10 days,,Various
Broad Bean,Long Pod,Broad Bean (Long Pod),Vicia faba,Fabaceae,Mediterranean,Cool season nitrogen-fixing legume producing large edible beans. Excellent green manure and cover crop. Deep roots improve soil structure. Frost tolerant. Part of traditional green manure mixes in syntropic systems.,1,0.5,1,medium,pioneer,"nitrogen_fixer,green_manure,edible_seed",90-120,7-10 days,,Greenpatch Organic Seeds
Broccoletti,Raab Rapini,Broccoletti (Raab Rapini),Brassica oleracea var. italica,Brassicaceae,Mediterranean,Cool season vegetable. Harvest main head then side shoots continue producing. Rich in vitamins and minerals.,1,0.5,0.5,low,secondary,"edible_greens,edible_flower",80-100,,21-42,Mr Fothergill's
Broccoli,Summer Green,Broccoli,Brassica oleracea var. italica,Brassicaceae,Mediterranean,Cool season vegetable. Harvest main head then side shoots continue producing. Rich in vitamins and minerals.,1,0.5,0.5,low,secondary,"edible_greens,edible_flower",80-100,,21-42,Yates
Broccoli,Summer Green,Broccoli (Summer Green),Brassica oleracea var. italica,Brassicaceae,Mediterranean,Cool season vegetable. Harvest main head then side shoots continue producing. Rich in vitamins and minerals.,1,0.5,0.5,low,secondary,"edible_greens,edible_flower",80-100,,21-42,Yates
Brussels Sprout,,Brussels Sprout,Brassica oleracea var. gemmifera,Brassicaceae,Europe (Belgium),Cool season brassica producing small cabbage-like sprouts along tall stem. Needs long cool growing season. Flavor sweetens after frost. Remove lower leaves as sprouts develop.,1,0.5,0.5,low,secondary,edible_greens,90-120,5-10 days,28-42,Mr Fothergill's
Buckwheat,,Buckwheat,Fagopyrum esculentum,Polygonaceae,Central Asia,Fast-growing green manure ready to slash in 6-8 weeks. Excellent bee forage with white flowers. Accumulates phosphorus. Seeds edible. Not a true wheat - gluten free.,1,0.5,0.5,low,pioneer,"green_manure,nectar_source,beneficial_insects,edible_seed",30-45,3-5 days,,FFC
Bunnya Pine,,Bunnya Pine,Araucaria bidwilii,Araucariacea,Australian native,"Araucaria bidwillii, commonly known as the bunya pine, banya or bunya-bunya, is a large evergreen coniferous tree in the family Araucariaceae which is endemic to Australia. Its natural range is southeast Queensland with two very small, disjunct populations in northeast Queensland's World Heritage listed Wet Tropics.",400-600,10-20,30,emergent,climax,"edible_seed,timber,native_habitat,biomass_producer",,,,Gloucester Park
Pumpkin,Butternut,Butternut Pumpkin,Cucurbita maxima,Cucurbitaceae,South America,Classic Australian grey pumpkin with dense orange flesh. Excellent keeper - stores for months. Sweet nutty flavor.,1,0.5,0.5,low,secondary,edible_fruit,100-120,7-14 days,21-42,Mr Fothergill's
Cabbage,,Cabbage,Brassica oleracea,Brassicaceae,Europe (Mediterranean),Crinkled leaf savoy cabbage with mild sweet flavor. More tender than smooth-leaf varieties. Frost tolerant.,1,0.5,0.5,low,secondary,edible_greens,70-120,,21-42,Greenpatch Organic Seeds
Cabbage,Golden Acre,Cabbage (Golden Acre),Brassica oleracea var. capitata,Brassicaceae,Europe (Mediterranean),Compact round green cabbage. Early maturing variety good for small spaces. Firm crisp heads.,1,0.5,0.5,low,secondary,edible_greens,70-120,2 to 7 weeks,21-42,Greenpatch Organic Seeds
Cabbage,Red,Cabbage (Red),Brassica oleracea var. capitata,Brassicaceae,Europe (Mediterranean),Red cabbage variety rich in anthocyanins. Good for salads and pickling. Stores well.,1,0.5,0.5,low,secondary,edible_greens,70-120,3 to 4 weeks,21-42,Greenpatch Organic Seeds
Cabbage,Savoy Vertu,Cabbage (Savoy Vertu),Brassica oleracea var. capitata,Brassicaceae,Europe (Mediterranean),Crinkled leaf savoy cabbage with mild sweet flavor. More tender than smooth-leaf varieties. Frost tolerant.,1,0.5,0.5,low,secondary,edible_greens,70-120,,21-42,Greenpatch Organic Seeds
Calendula,,Calendula,Calendula officinalis,Asteraceae,Mediterranean,Medicinal flower with edible petals. Attracts beneficial insects and pollinators. Self-seeds readily.,1,0.5,0.5,low,secondary,"medicinal,edible_flower,beneficial_insects",,,21-42,FFC
Cape Gooseberry,,Cape Gooseberry,Physalis peruviana,Solanaceae,South America (Peru),Perennial fruiting plant producing golden berries in papery husks. Sweet-tart flavor. Self-seeds readily. Frost sensitive but regrows from roots.,3-5,1-3,2-3,medium,secondary,edible_fruit,,2 to 7 weeks,28-56,EDEN SEEDS
Capsicum,,Capsicum,Capsicum annuum,Solanaceae,Central/South America,"Sweet pepper variety. Needs warm conditions and regular water. Fruits green ripening to red, yellow or orange depending on variety.",1-3,3-10,5,medium,secondary,edible_fruit,,,,FFC
Capsicum,Red,Capsicum (Red),Capsicum annuum,Solanaceae,Central/South America,Red sweet capsicum. Allow to fully ripen on plant for sweetest flavor and highest vitamin C content.,1-3,3-10,6,medium,secondary,edible_fruit,,3 to 4 weeks,,Mr Fothergill's
Carob,,Carob,Ceratonia siliqua,Fabaceae,Mediterranean,"Nitrogen-fixing tree producing edible pods as chocolate substitute. Drought tolerant once established, excellent for syntropic systems providing shade and biomass.",100-200,10-20,20,emergent,climax,"nitrogen_fixer,edible_fruit,fodder",,2 to 7 weeks,,EDEN SEEDS
Carrot,Purple Dragon,Carrot,Daucus carota,Apiaceae,Central Asia (Afghanistan),Root vegetable rich in beta-carotene. Sow direct as dislikes transplanting. Thin seedlings for proper root development. Loose deep soil produces best roots.,1,0.5,0.5,low,secondary,edible_root,65-80,14-21 days,,Country Value
Castor Bean,,Castor Bean,Ricinus communis,Euphorbiaceae,East Africa,Fast-growing tropical shrub to 4m with large palmate leaves. Seeds produce castor oil. CAUTION: Seeds highly toxic. Excellent biomass pioneer - grows rapidly on poor soils. Self-seeds readily.,3-5,3-10,5,medium,pioneer,"biomass_producer,oil_production",,,,EDEN SEEDS
Cattail,,Cattail,Typha spp.,Typhaceae,Cosmopolitan,Prominent wetland plant with robust grass-like appearance and cigar-shaped brown flower spikes. Excellent for water filtration and erosion control in dam edges.,10-20,3-10,2,medium,pioneer,"erosion_control,native_habitat,biomass_producer",,,,Various
Cauliflower,,Cauliflower,Brassica oleracea var. botrytis,Brassicaceae,Mediterranean,Cool season brassica grown for white curd. More demanding than other brassicas. Needs consistent moisture and nutrients. Tie leaves over curd to keep white.,1,0.5,0.5,low,secondary,edible_greens,55-100,5-10 days,28-42,Mr Fothergill's
Celery,,Celery,Apium graveolens,Apiaceae,Mediterranean,Biennial vegetable grown for crisp stalks. Heavy feeder requiring rich moist soil. Harvest outer stalks first or whole plant.,2,1-3,0.5,low,secondary,edible_greens,85-120,2-3 weeks,42-70,Various
Celery,Golden Self Blanching,Celery (Golden Self Blanching),Apium graveolens,Apiaceae,Europe,"Heirloom self-blanching celery with yellow-green stalks. No earthing up required. Thick ribs, crisp texture, mild flavor without bitterness. Dwarf compact habit to 40-60cm.",2,1-3,0.5,low,secondary,edible_greens,85-105,14-21 days,42-70,Mr Fothergill's
Celery,Tendercrisp,Celery (Tendercrisp),Apium graveolens,Apiaceae,USA,"Pascal-type heirloom celery introduced 1969. Dark green stalks 11-12 inches to first joint. Smooth, thick, non-fibrous with crisp juicy texture and subtle nutty flavor. Large flavorful leaves edible for salads and soups.",2,1-3,0.5,low,secondary,edible_greens,90-112,15-20 days,42-70,Greenpatch Organic Seeds
Chamomile,,Chamomile,Chamaemelum nobile,Asteraceae,Europe/Western Asia,Low-growing aromatic herb with daisy-like flowers. Used for calming herbal tea. Apple-scented foliage. Perennial groundcover type.,2-3,1-3,2,low,secondary,"medicinal,aromatic,beneficial_insects,companion_plant",90-120,14-21 days,28-42,Mr Fothergill's
Chilli,,Chilli,Capsicum annuum,Solanaceae,Central/South America,"Medium-hot jalapeño pepper. Thick-walled fruits good fresh, pickled or smoked (chipotle). Heavy producer.",1-3,3-10,5,medium,secondary,edible_fruit,,,,FFC
Chilli,Big Jim,Chilli (Big Jim),Capsicum annuum,Solanaceae,Central/South America,"Medium-hot jalapeño pepper. Thick-walled fruits good fresh, pickled or smoked (chipotle). Heavy producer.",1-3,3-10,5,medium,secondary,edible_fruit,80-100,10-21 days,42-56,Mr Fothergill's
Chilli,Bird Eye,Chilli (Bird Eye),Capsicum annuum,Solanaceae,Central/South America,"Compact, prolific chilli variety producing small, intensely hot fruits. Also known as Thai chilli. Plants are bushy and productive over multiple seasons in frost-free areas. Excellent companion plant attracting beneficial insects when flowering. Fruits ripen from green to red.",1-3,0.5,1,medium,secondary,"edible_fruit,companion_plant,beneficial_insects",80-100,10-21 days,42-56,Various
Chilli,Cayenne,Chilli (Cayenne),Capsicum annuum,Solanaceae,Central/South America,Hot cayenne pepper variety. Long thin red fruits excellent for drying. Prolific producer in warm conditions.,1-3,3-10,5,medium,secondary,edible_fruit,,,,FFC (farm saved)
Chilli,Devil's Brew,Chilli (Devil's Brew),Capsicum annuum,Solanaceae,Central/South America,"Bushy hot chilli producing a colourful mix of long slender peppers ripening yellow, green and red. Very hot. Compact habit suits containers and dense syntropic understory plantings. Prolific producer in warm conditions.",1-3,0.5-1,1,medium,secondary,"edible_fruit,companion_plant",80-100,10-21 days,42-56,Mr Fothergill's
Chilli,Jalapeño,Chilli (Jalapeño),Capsicum annuum,Solanaceae,Central/South America,"Medium-hot jalapeño pepper. Thick-walled fruits good fresh, pickled or smoked (chipotle). Heavy producer.",1-3,3-10,5,medium,secondary,edible_fruit,,,,FFC (farm saved)
Chives,,Chives,Allium schoenoprasum,Amaryllidaceae,Northern Hemisphere,Perennial onion-flavored herb forming clumps. Pink-purple flowers edible. Cut regularly to encourage fresh growth.,3-5,3-10,5,low,secondary,"aromatic,edible_greens",,,21-42,Johnsons
Chives - Garlic,,Chives - Garlic,Allium tuberosum,Amaryllidaceae,Southeast Asia / China,"Perennial herb with flat leaves and garlic-flavoured taste. Grows in clumps, spreading slowly. White star-shaped flowers attract pollinators. In syntropic systems serves as low-strata edible companion plant with pest-repelling properties. Hardy and low-maintenance once established.",5+,1-3,1,low,secondary,"edible_leaf,companion_plant,pest_deterrent,pollinator_attractor",60-90,14-21 days,42-56,Mr Fothergill's
Choko,,Choko,Sechium edule,Cucurbitaceae,Central America (Mexico),"Vigorous perennial vine with edible fruits, shoots and tubers. Single plant can produce 100+ fruit. Needs strong support structure. Frost sensitive tops but perennial root survives mild frost.",5-10,3-10,4,medium,secondary,"edible_fruit,edible_greens,edible_root",,,,Krambach Pub
Citrus,Yuzu,Citrus (Yuzu),Citrus junos,Rutaceae,East Asia (China/Japan),Cold-hardy citrus tree to 4m producing highly aromatic yellow fruit prized for zest and juice. More frost tolerant than most citrus. Thorny. Slow growing but long-lived. Used extensively in Japanese cuisine.,50+,10+,5,medium,secondary,"edible_fruit,aromatic",,,,Daleys Fruit Nursery (bought plant)
Clover,,Clover,Trifolium repens,Fabaceae,Europe / Central Asia,"Low-growing perennial legume, spreading via stolons. Excellent nitrogen fixer and living mulch. In syntropic systems serves as ground-cover layer in placenta/low strata, fixing atmospheric nitrogen and suppressing weeds. Attracts pollinators. Tolerates mowing and foot traffic.",3-5,1-3,1,low,pioneer,"nitrogen_fixer,living_mulch,groundcover,pollinator_attractor",0,7-14 days,0,Various
Clover,Crimson,Clover (Crimson),Trifolium pratense,Fabaceae,Europe/Western Asia,Perennial nitrogen-fixing legume. Excellent bee forage with pink flowers. Living mulch and green manure. Deep roots bring up minerals. Edible flowers.,2-3,1-3,2,low,pioneer,"nitrogen_fixer,living_mulch,green_manure,nectar_source,beneficial_insects",,7-14 days,,Greenpatch Organic Seeds
Clover,Red Persian,Clover (Red Persian),Trifolium pratense,Fabaceae,Europe/Western Asia,Perennial nitrogen-fixing legume. Excellent bee forage with pink flowers. Living mulch and green manure. Deep roots bring up minerals. Edible flowers.,2-3,1-3,2,low,pioneer,"nitrogen_fixer,living_mulch,green_manure,nectar_source,beneficial_insects",,7-14 days,,Greenpatch Organic Seeds
Clover,White Haifa,Clover (White Haifa),Trifolium repens,Fabaceae,Europe / Central Asia,"Low-growing perennial legume, spreading via stolons. Excellent nitrogen fixer and living mulch. In syntropic systems serves as ground-cover layer in placenta/low strata, fixing atmospheric nitrogen and suppressing weeds. Attracts pollinators. Tolerates mowing and foot traffic.",3-5,1-3,1,low,pioneer,"nitrogen_fixer,living_mulch,groundcover,pollinator_attractor",0,7-14 days,0,Greenpatch Organic Seeds
Coffee,,Coffee,Coffea arabica,Rubiaceae,East Africa (Ethiopia),Tropical understory shrub to 5m producing coffee beans. Prefers filtered light - ideal below taller trees. First harvest in 3-4 years. White fragrant flowers. Frost sensitive.,50-100,20+,15,medium,climax,edible_seed,,,,Yacob Tinonee Farm (given plant)
Coffee,Arabica,Coffee (Arabica),Coffea arabica,Rubiaceae,East Africa (Ethiopia),Tropical understory shrub to 5m producing coffee beans. Prefers filtered light - ideal below taller trees. First harvest in 3-4 years. White fragrant flowers. Frost sensitive.,50-100,20+,15,medium,climax,edible_seed,,,,Daleys Fruit Nursery (bought plant)
Comfrey,,Comfrey,Symphytum officinale,Boraginaceae,Europe,Deep-rooted nutrient accumulator bringing minerals from subsoil. Excellent for chop-and-drop mulching - produces massive biomass. Cut 4-5 times per season.,20-40,3-10,10,low,secondary,"nutrient_accumulator,biomass_producer,medicinal",,,,FFC
Coriander,,Coriander,Coriandrum sativum,Apiaceae,Mediterranean/Middle East,Aromatic herb - leaves (cilantro) and seeds both used. Bolts quickly in heat - plant in cool season or part shade. Self-seeds readily. Attracts beneficial insects.,1,0.5,0.5,low,secondary,"aromatic,edible_greens,edible_seed,beneficial_insects",40-50,7-14 days,,Mr Fothergill's
Corn,,Corn,Zea mays,Poaceae,Central America (Mexico),Warm season grass producing sweet corn cobs. Manning Pride is NSW-adapted variety. Plant in blocks for wind pollination. Excellent biomass from stalks after harvest.,1,0.5,0.5,emergent,secondary,"edible_seed,biomass_producer",70-90,7-10 days,14-21,Greenpatch Organic Seeds
Corn,Manning Pride,Corn (Manning Pride),Zea mays,Poaceae,Central America (Mexico),Warm season grass producing sweet corn cobs. Manning Pride is NSW-adapted variety. Plant in blocks for wind pollination. Excellent biomass from stalks after harvest.,1,0.5,0.5,emergent,secondary,"edible_seed,biomass_producer",70-90,7-10 days,14-21,Greenpatch Organic Seeds
Corn,Sweet,Corn (Sweet),Zea mays,Poaceae,Central America (Mexico),Warm season grass producing sweet corn cobs. Manning Pride is NSW-adapted variety. Plant in blocks for wind pollination. Excellent biomass from stalks after harvest.,1,0.5,0.5,emergent,secondary,"edible_seed,biomass_producer",70-90,7-10 days,14-21,Greenpatch Organic Seeds
Cottage Garden Mix,,Cottage Garden Mix,Mixed species,Mixed,Various,Mixed flower seed blend for cottage garden style plantings. Contains various annual and perennial flowers. Species composition varies by supplier.,1,0.5,0.5,low,secondary,"ornamental,beneficial_insects",,7-21 days,,Mr Fothergill's
Cowpea,Red,Cowpea,Vigna unguiculata,Fabaceae,Africa,Tropical nitrogen-fixing legume. Excellent summer green manure. Drought tolerant. Edible pods and dried peas. Varieties include Black-Eyed Pea.,1,0.5,0.5,low,pioneer,"nitrogen_fixer,green_manure,edible_seed",60-90,7-10 days,,FFC (farm saved)
