common name,Variety,farmos_name,botanical name,crop_family,origin,description,lifespan years,"life cycle
years",maturity_days,strata,succession stage,plant_functions,harvest_days,germination_time,transplant_days,source,growing process: cutting/ seedling/ …,seeding/ planting date,"planted POTS
nb","Viable plants
NB","SUCCESS RATE
%","not ready to transplant
nRTT-Nb",SHELVES,FLOOR,"Ready to transplant
RTT Nb","WHERE
to transplant",HOW MANY,WHEN,"WHERE
to transplant.1",HOW MANY.1,WHEN.1,"RTT
LEFT",TO DO,WHEN.2,Unnamed: 35,NURSERY LOCATION NOMENCLATURA,Unnamed: 37,Unnamed: 38,Unnamed: 39
Avocado,,Avocado,Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,20,,high,secondary to climax,edible_fruit,,,,Daleys Fruit Nursery,grafted,bought 02/2026,1,1,,,outside,front nursery,1,P2R4,,,,,,,,,,,,,
Avocado,,Avocado,Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,20,,high,secondary to climax,edible_fruit,,,,FFC (supermarket fruit),cutting,01/02/2026,13,22,,22,I,1,0,,,,,,,,,,,,,,
Banagrass,,Banagrass,"Cenchrus purpureus
",Poaceae,Africa,Perennial tropical grass producing massive biomass for mulching. Also known as elephant grass or napier grass. Grows 3-4m tall. Excellent for erosion control and chop-and-drop.,Oct-15,15,,high-emergent,placenta to secondary,"biomass_producer,erosion_control",,,,FFC,cutting,21/01/2026,18,18,,18,GL,GL,18,P2R4,7,Mar-26,,,,,,,,,,,
Banagrass,,Banagrass,"Cenchrus purpureus
",Poaceae,Africa,Perennial tropical grass producing massive biomass for mulching. Also known as elephant grass or napier grass. Grows 3-4m tall. Excellent for erosion control and chop-and-drop.,Oct-15,15,,high-emergent,placenta to secondary,"biomass_producer,erosion_control",,,,FFC,cutting,25/02/2026,11,31,,,outside,Behind nursery,0,,,,,,,,,,,,,,
Banagrass,,Banagrass,"Cenchrus purpureus
",Poaceae,Africa,Perennial tropical grass producing massive biomass for mulching. Also known as elephant grass or napier grass. Grows 3-4m tall. Excellent for erosion control and chop-and-drop.,Oct-15,15,,high-emergent,placenta to secondary,"biomass_producer,erosion_control",,,,FFC,cutting,04/03/2026,10,33,,33,outside,Behind nursery,0,,,,,,,,,,,,,,
Banagrass,,Banagrass,"Cenchrus purpureus
",Poaceae,Africa,Perennial tropical grass producing massive biomass for mulching. Also known as elephant grass or napier grass. Grows 3-4m tall. Excellent for erosion control and chop-and-drop.,Oct-15,15,,high-emergent,placenta to secondary,"biomass_producer,erosion_control",,,,FFC,cutting,05/03/2026,10,33,,33,I,2,0,,,,,,,,,,,,,,
Basil - Perennial,,Basil - Perennial,Ocimum basilicum,Lamiaceae,South Asia/Africa,Thai basil variety with distinctive anise-like flavor and purple stems. Essential for Southeast Asian cuisine. Loves heat.,01-Feb,01-Mar,,medium,secondary,"aromatic,edible_greens",,,,FFC,cutting,01/03/2026,bathtub,10,,10,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Basil - Perennial,,Basil - Perennial,Ocimum basilicum,Lamiaceae,South Asia/Africa,Thai basil variety with distinctive anise-like flavor and purple stems. Essential for Southeast Asian cuisine. Loves heat.,01-Feb,2,,low-medium,secondary,"aromatic,edible_greens",,,,FFC,cutting,Jan-26,7,7,,7,I,1,0,,,,,,,,,,,,,,
Basil - Sweet,,Basil - Sweet (Classic),Ocimum basilicum,Lamiaceae,South Asia/Africa,Classic sweet Genovese-type basil. Essential for pesto and Italian cooking. Pinch flowers to prolong harvest.,1,3,,low-medium,secondary,"aromatic,edible_greens",,,,Mr Fothergill's,seedling,31/12/2025,11,11,,,II,2,11,,,,,,,,,,,,,,
Blueberry,,Blueberry,Vaccinium sect. Cyanococcus,Ericaceae,North America,Acid-loving berry shrub requiring pH 4.5-5.5. Needs consistent moisture and good drainage. Beautiful autumn foliage.,20-50,30,,low,secondary,edible_fruit,,,,FFC,cutting,Jan-27,2,2,,2,GL,GL,0,,,,,,,,,,,,,,
Blueberry,,Blueberry,Vaccinium sect. Cyanococcus,Ericaceae,North America,Acid-loving berry shrub requiring pH 4.5-5.5. Needs consistent moisture and good drainage. Beautiful autumn foliage.,20-50,30,,low,secondary,edible_fruit,,,,FFC,cutting,02/03/2026,2,2,,2,GL,GL,0,,,,,,,,,,,,,,
Blueberry,,Blueberry,Vaccinium sect. Cyanococcus,Ericaceae,North America,Acid-loving berry shrub requiring pH 4.5-5.5. Needs consistent moisture and good drainage. Beautiful autumn foliage.,20-50,30,,low,secondary,edible_fruit,,,,FFC,cutting,01/02/2026,11,10,,10,I,2,0,,,,,,,,,,,,,,
Cabbage,Savoy,Cabbage (Savoy Vertu),Brassica oleracea var. capitata,Brassicaceae,Europe (Mediterranean),Crinkled leaf savoy cabbage with mild sweet flavor. More tender than smooth-leaf varieties. Frost tolerant.,Dec-31,0.5,0.5,low,secondary,edible_greens,70-120,,21-42,Greenpatch Organic Seeds,seedling,07/03/2026,16,16,,16,I,4,0,,,,,,,,,,,,,,
Cabbage,Red,Cabbage (Red),Brassica oleracea var. capitata,Brassicaceae,Europe (Mediterranean),Red cabbage variety rich in anthocyanins. Good for salads and pickling. Stores well.,Dec-31,0.5,0.5,low,secondary,edible_greens,70-120,3 to 4 weeks,21-42,Greenpatch Organic Seeds,seedling,07/03/2026,16,16,,16,I,4,0,, ,,,,,,,,,,,,
Calendula,,Calendula,Calendula officinalis,Asteraceae,Mediterranean,Medicinal flower with edible petals. Attracts beneficial insects and pollinators. Self-seeds readily.,1,0.5,,low,secondary,"medicinal,edible_flower,beneficial_insects",,,,FFC,seedling,21/01/2026,1T,7,,,GL,GL,7,P2R4,3,Mar-26,,,,,,,,,,,
Cape Gooseberry,,Cape Gooseberry,Physalis peruviana,Solanaceae,South America (Peru),Perennial fruiting plant producing golden berries in papery husks. Sweet-tart flavor. Self-seeds readily. Frost sensitive but regrows from roots.,03-May,02-Mar,,low-medium,placenta to secondary,edible_fruit,,,,EDEN SEEDS,seedling,,,,,,,,0,,,,,,,,,,,,,,
Carob,,Carob,Ceratonia siliqua,Fabaceae,Mediterranean,"Nitrogen-fixing tree producing edible pods as chocolate substitute. Drought tolerant once established, excellent for syntropic systems providing shade and biomass.",100-200,20,,emergent,secondary to climax,"nitrogen_fixer,edible_fruit,fodder",,,,EDEN SEEDS,seedling,,,,,,,,0,,,,,,,,,,,,,,
Chilli,Bird Eye,Chilli (Bird Eye),Capsicum annuum,Solanaceae,Central/South America,"Compact, prolific chilli variety producing small, intensely hot fruits. Also known as Thai chilli. Plants are bushy and productive over multiple seasons in frost-free areas. Excellent companion plant attracting beneficial insects when flowering. Fruits ripen from green to red.",01-Mar,5,,medium,secondary,"edible_fruit,companion_plant,beneficial_insects",,,,FFC,seedling,,,,,,,,0,,,,,,,,,,,,,,
Chilli,Cayenne,Chilli (Cayenne),Capsicum annuum,Solanaceae,Central/South America,Hot cayenne pepper variety. Long thin red fruits excellent for drying. Prolific producer in warm conditions.,01-Mar,5,,medium,secondary,edible_fruit,,,,FFC,seedling,15/01/2026,26,26,,26,I,3,0,,,,,,,,,,,,,,
Chilli,Jalapeño,Chilli (Jalapeño),Capsicum annuum,Solanaceae,Central/South America,"Medium-hot jalapeño pepper. Thick-walled fruits good fresh, pickled or smoked (chipotle). Heavy producer.",01-Mar,5,,medium,secondary,edible_fruit,,,,FFC,seedling,15/01/2026,40,40,,40,,,0,,,,,,,,,,,,,,
Chilli,Devil's Brew,Chilli (Devil's Brew),Capsicum annuum,Solanaceae,Central/South America,"Bushy hot chilli producing a colourful mix of long slender peppers ripening yellow, green and red. Very hot. Compact habit suits containers and dense syntropic understory plantings. Prolific producer in warm conditions.",01-Mar,5,,medium,secondary,"edible_fruit,companion_plant",,,,FFC,seedling,07/01/2026,10,10,,0,I,1,10,P2R4,4,Mar-26,,,,,,,,,,,
Coffee,,Coffee,Coffea arabica,Rubiaceae,East Africa (Ethiopia),Tropical understory shrub to 5m producing coffee beans. Prefers filtered light - ideal below taller trees. First harvest in 3-4 years. White fragrant flowers. Frost sensitive.,50-100,20+,,medium,climax,edible_seed,,,,Tinonee Farm,given plant,given on 28/02/2026,4,4,,4,GL,GL,4,,,,,,,,,,,,,,
Comfrey,,Comfrey,Symphytum officinale,Boraginaceae,Europe,Deep-rooted nutrient accumulator bringing minerals from subsoil. Excellent for chop-and-drop mulching - produces massive biomass. Cut 4-5 times per season.,20-40,10,,low,placenta,"nutrient_accumulator,biomass_producer,medicinal",,,,FFC,root,15/02/2026,29,15,,15,behind nursery,behind nursery,0,P2R4,3,Mar-26,,,,,,,,,,,
Wattle - Cootamundra,,Wattle - Cootamundra (Baileyana),Acacia Baileyana,Fabaceae,Native to NSW (Cootamundra region),Beautiful native wattle with silver-blue feathery foliage and masses of golden flowers. Fast nitrogen-fixer for medium layer. Can be short-lived but self-seeds readily.,15-30,20,,medium,placenta,"nitrogen_fixer,biomass_producer,ornamental,native_habitat",,,,EDEN SEEDS,seedling,Oct-25,2,2,,,GR,GR,2,,,,,,,,,,,,,,
Coriander,,Coriander,Coriandrum sativum,Apiaceae,Mediterranean/Middle East,Aromatic herb - leaves (cilantro) and seeds both used. Bolts quickly in heat - plant in cool season or part shade. Self-seeds readily. Attracts beneficial insects.,1,0.5,,low,secondary,"aromatic,edible_greens,edible_seed,beneficial_insects",,,,FFC,seedling,15/01/2026,1,,,,GR,GR,1,,,,,,,,,,,,,,
Eucalypt-Gum (Generic),,Eucalypt-Gum (Generic),Eucalyptus,Myrtaceae,Native to Australia,Native eucalypt,100-200,20+,,emergent,secondary,"aromatic,medicinal,nectar_source,native_habitat",,,,FFC,cutting,15/02/2026,8,8,,8,Hill Behind Nursery,Hill Behind Nursery,,,,,,,,,,,,,,,
Fern Tree,,Tree Fern,CYATHEA,Cyatheaceae,Australia / Pacific,Tree fern with trunk-like stem and large spreading fronds.,50-100,20+,,Medium,Secondary,"Native Habitat, Ornamental, Erosion Control",,,,oxygen farm,cutting,15/02/2026,3,0,,0,I,3,0,,,,,,,,,,,,,,
Fig,,Fig,Ficus carica,Moraceae,Mediterranean/Western Asia,Deciduous fruit tree producing sweet fruits. Drought tolerant once established. Loves warm Mediterranean-type climate but produces well in subtropical and temperate areas. Give sunny position and well-drained soil.,50-200,20,,high,secondary to climax,edible_fruit,,,,FFC,,,,,,,,,0,,,,,,,,,,,,,,
Finger Lime,,Finger Lime,Citrus australasica,Rutaceae,Native to NSW/QLD,Australian native rainforest citrus producing unique caviar-like lime pearls. Thorny shrub to 6m. Fruit highly prized by chefs. Slow growing but very long-lived. Prefers part shade when young.,50-100,Oct-20,,medium,secondary,"edible_fruit,native_habitat",,,,FFC,seedling,15/01/2026,1,1,,1,GR,GR,0,,,,,,,,,,,,,,
Finger Lime,,Finger Lime,Citrus australasica,Rutaceae,Native to NSW/QLD,Australian native rainforest citrus producing unique caviar-like lime pearls. Thorny shrub to 6m. Fruit highly prized by chefs. Slow growing but very long-lived. Prefers part shade when young.,50-100,Oct-20,,medium,secondary,"edible_fruit,native_habitat",,,,Daleys Fruit Nursery,cutting,Bought 04/2025,2,2,,0,GR,GR,2,,,,,,,,,,,,,,
Forest Red Gum,,Forest Red Gum,Eucalyptus tereticornis,Myrtaceae,Native to NSW,Tall Australian native eucalypt growing to 50m. Excellent honey producer and timber tree. Fast-growing emergent providing wildlife habitat and wind protection.,200-400,50,,emergent,secondary,"timber,nectar_source,native_habitat,erosion_control",,,,The seed Vine,seedling,,,,,,,,0,,,,,,,,,,,,,,
Geranium,,Geranium,Pelargonium graveolens,Geraniaceae,South Africa,Scented leaf geranium with rose-like fragrance. Used for aromatics and pest management. Drought tolerant.,03-May,15,,low-placenta 2 transition,secondary,"aromatic,ornamental,pest_management",,,,FFC,cutting,15/01/2026,12,,,,GR,GR,12,,,,,,,,,,,,,,
Geranium,,Geranium,Pelargonium graveolens,Geraniaceae,South Africa,Scented leaf geranium with rose-like fragrance. Used for aromatics and pest management. Drought tolerant.,03-May,15,,low-placenta 2 transition,secondary,"aromatic,ornamental,pest_management",,,,FFC,cutting,02/03/2026,5,5,,5,GL,GL,0,,,,,,,,,,,,,,
Geranium,,Geranium,Pelargonium graveolens,Geraniaceae,South Africa,Scented leaf geranium with rose-like fragrance. Used for aromatics and pest management. Drought tolerant.,03-May,15,,low-placenta 2 transition,secondary,"aromatic,ornamental,pest_management",,,,FFC,cutting,15/02/2026,,45,,45,Hill Behind Nursery,Hill Behind Nursery,0,,,,,,,,,,,,,,
Ginger,,Ginger,Zingiber officinale,Zingiberaceae,South Asia,"Tropical rhizome crop. Plant in spring, harvest when leaves yellow in autumn. Needs warmth, moisture and rich soil.",02-Mar,01-Mar,,medium,secondary,"edible_root,aromatic,medicinal",,,,greenpach organic,root,15/11/2025,2,2,,,GR,GR,2,,,,,,,,,,,,,,
Grape Vine,,Grape Vine,Vitis vinifera,Vitaceae,France (hybrid),French-American red wine grape variety. Disease resistant and productive. Deep colored wine. Needs trellising. Prefers warm dry autumn for ripening.,50-100,20+,,medium,secondary,edible_fruit,,,,FFC,cutting,01/03/2026,bathtub,20,,0,Front toolshed,1,0,,,,,,,,,,,,,,
Grape Vine,,Grape Vine,Vitis vinifera,Vitaceae,France (hybrid),French-American red wine grape variety. Disease resistant and productive. Deep colored wine. Needs trellising. Prefers warm dry autumn for ripening.,50-100,20+,,medium,secondary,edible_fruit,,,,FFC,cutting,01/03/2026,3,3,,3,II,1,0,,,,,,,,,,,,,,
Grape Vine,,Grape Vine,Vitis vinifera,Vitaceae,France (hybrid),French-American red wine grape variety. Disease resistant and productive. Deep colored wine. Needs trellising. Prefers warm dry autumn for ripening.,50-100,20+,,medium,secondary,edible_fruit,,,,FFC,cutting,27/01/2026,4,2,,2,GR,GR,0,,,,,,,,,,,,,,
Guava,,Guava,Psidium,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,Oct-20,,emergent,secondary,edible_fruit,,,,FFC,cutting,01/03/2026,3,3,,3,II,2,0,,,,,,,,,,,,,,
"Guava ""Hawaian""",,Guava (Hawaiian),Psidium guajava,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,Oct-20,,emergent,secondary,edible_fruit,,,,FFC,cutting,Jan-26,5,10,,10,GL,GL,4,,,,,,,,,,,,,,
Ice Cream Bean,,Ice Cream Bean,Inga edulis (native to South America,Fabaceae,South America,Fast-growing nitrogen-fixing tree with edible cotton-like fruit pulp. Excellent shade tree and biomass producer. Pods contain sweet white edible flesh around seeds.,30-50,30,,high-emergent,secondary,"nitrogen_fixer,edible_fruit,biomass_producer",,,,Minimbah,seedling,Jan-26,2,2,,,GL,GL,2,,,,,,,,,,,,,,
Jacaranda,,Jacaranda,Jacaranda mimosifolia,Bignoniaceae,South America (Argentina),Ornamental tree with spectacular purple flowers in spring. Provides light dappled shade. Deciduous in winter.,50-100,20+,,medium,secondary,"ornamental,nectar_source",,,,The Bucketts Way,seedling,Nov-25,3,3,,,GR,GR,3,,,,,,,,,,,,,,
Lavender,,Lavender,Lavendula stoechas/angustifolia,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,5,,high,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,01/03/2026,7,7,,7,I,1,0,,,,,,,,,,,,,,
Lavender,,Lavender,Lavendula stoechas/angustifolia,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,5,,high,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,01/03/2026,bathtub,5,,5,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Lavender,,Lavender,Lavandula,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,Oct-20,,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,15/01/2026,35,35,,,II,3,35,,,,,,,,,,,,,,
Lavender,,Lavender,Lavandula,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,Oct-20,,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,15/01/2026,14,13,,10,II,3,3,,,,,,,,,,,,,,
Leek,,Leek,Allium ampeloprasum,Amaryllidaceae,Mediterranean,Hardy onion relative grown for white stem. Hill soil around stems to blanch. Long growing season.,2,01-Mar,2,low,secondary,edible_greens,90-120,,28-56,Mr Fothergill's,seedling,07/03/2026,16,16,,16,I,4,0,,,,,,,,,,,,,,
Lemon,,Lemon,Citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,Oct-20,,medium,secondary,edible_fruit,,,,supermarket 5/lilly pilly/ FFC 100,seedling,23/02/2026,1T,0,,0,II,1,0,,,,,,,,,,,,,,
Lemon Balm,,Lemon Balm,Melissa officinalis,Lamiaceae,Southern Europe,Perennial herb with lemon-scented leaves. Used for tea and culinary. Spreads readily - can become invasive. Attracts bees. Calming medicinal properties.,05-Oct,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,15/02/2026,17,6,,6,I,3,0,,,,,,,,,,,,,,
Lemon Balm,,Lemon Balm,Melissa officinalis,Lamiaceae,Southern Europe,Perennial herb with lemon-scented leaves. Used for tea and culinary. Spreads readily - can become invasive. Attracts bees. Calming medicinal properties.,05-Oct,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,01/03/2026,11,0,,0,I,3,0,,,,,,,,,,,,,,
Lemongrass,,Lemongrass,Cymbopogon citratus,Poaceae,South Asia,Aromatic tropical grass with lemony stalks. Essential for Asian cooking. Forms large clumps. Frost sensitive.,04-Jun,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,pest_management",,,,FFC,seedling,24/11/2025,15,11,,0,I,2,11,SPIRAL,4,Mar-26,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC forest,cutting,May-25,1,1,,,GL,GL,1,,,,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC forest,cutting,15/02/2026,19,25,,25,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC,seedling,Oct-25,1,1,,,,,1,,,,,,,,,,,,,,
Mango,,Mango,Mangifera indica,Anacardiaceae,South Asia (India),Tropical fruit tree producing delicious sweet fruit. Long-lived climax species. Grafted trees fruit quicker than seedlings. Needs frost-free position.,100-300,50,,high,secondary to climax,edible_fruit,,,,supermarket / Daleys FN,,27/01/2026,4,,,4,GR,GR,0,,,,,,,,,,,,,,
Melaleuca (Generic),,Melaleuca (Generic),Melaleuca spp.,Myrtaceae,Native to Australia,"Native Australian paperbark tree. Species to be verified. Multiple species grown at FFC including Tea Tree, Snow in Summer, and others.",50-100,Oct-20,,high,secondary,"native_habitat,nectar_source,aromatic,medicinal",,,,FFC,cutting,02/02/2026,1,1,,1,II,2,0,,,,,,,,,,,,,,
Melaleuca (Generic),,Melaleuca (Generic),Melaleuca spp.,Myrtaceae,Native to Australia,"Native Australian paperbark tree. Species to be verified. Multiple species grown at FFC including Tea Tree, Snow in Summer, and others.",50-100,Oct-20,,high,secondary,"native_habitat,nectar_source,aromatic,medicinal",,,,FFC,cutting,01/03/2026,5,5,,5,II,2,0,,,,,,,,,,,,,,
Mint,,Mint,Menta Piperita,Lamiaceae,Europe/Middle East,"Vigorous spreading herb - best grown in containers to control spread. Fresh leaves for tea, cooking and drinks.",05-Oct,5,,low,secondary,"aromatic,medicinal,edible_greens",,,,FFC,cutting,17/02/2026,9,9,,6,I,2,3,,,,,,,,,,,,,,
Mint,,Mint,Menta Piperita,Lamiaceae,Europe/Middle East,"Vigorous spreading herb - best grown in containers to control spread. Fresh leaves for tea, cooking and drinks.",05-Oct,5,,low,secondary,"aromatic,medicinal,edible_greens",,,,FFC,cutting,04/03/2026,2,2,,2,I,2,3,,,,,,,,,,,,,,
Mix Guava+Lemon,,,,,,,,,,,,,,,,FFC,cutting,23/02/2026,10,16,,16,II,2,0,,,,,,,,,,,,,,
Mulberry – White,,Mulberry (White),Morus alba (native to China),Moraceae,China,Fast-growing deciduous tree producing sweet white-pink fruit. Excellent for biomass - recovers quickly from hard pruning. Also fodder for silkworms.,50-100,20,,medium-high,secondary,"edible_fruit,biomass_producer,fodder",,,,EDEN SEEDS,,,,,,,,,0,,,,,,,,,,,,,,
Nettle,,Nettle,Urtica dioica,Urticaceae,Europe / Asia / North America,"Herbaceous perennial, 0.5-1.5m tall. Highly nutritious edible leaves (cooked). Excellent dynamic accumulator drawing minerals from deep soil. Valued for liquid fertiliser production and compost activation. In syntropic systems serves as low-strata nutrient cycling plant and beneficial insect habitat.",5+,01-Mar,,low,secondary,"dynamic_accumulator,edible_leaf,compost_activator,beneficial_insects",,,,Nick'soil,spontaneous,15/01/2026,10,20,,,GL,GL,10,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,01/03/2026,3,5,,5,GR,GR,0,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,19/01/2026,4,1,,1,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,01/03/2026,2,2,,2,behind nursery,behind nursery,0,,,,,,,,,,,,,,
